Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
353050;3530508;Mococa;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;66753;Mais de 50 mil até 100 mil;-21,45;-47,03
353060;3530607;Mogi das Cruzes;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Leste;RMSP;06 - Alto Tietê;432905;Mais de 200 mil até 500 mil;-23,57;-46,19
353070;3530706;Mogi Guaçu;686;Região Administrativa de Campinas;Região de Governo de Campinas;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;148325;Mais de 100 mil até 200 mil;-22,23;-47,03
353080;3530805;Mogi Mirim;686;Região Administrativa de Campinas;Região de Governo de Campinas;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;90439;Mais de 50 mil até 100 mil;-22,45;-46,99
353090;3530904;Mombuca;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;3332;Até 5 mil;-22,94;-47,60
353100;3531001;Monções;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;2175;Até 5 mil;-20,86;-50,08
353110;3531100;Mongaguá;683;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;Demais municípios;RMBS;07 - Baixada Santista;54610;Mais de 50 mil até 100 mil;-24,07;-46,67
353120;3531209;Monte Alegre do Sul;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;Demais municípios;05 - Piracicaba/Capivari/Jundiaí;7749;Mais de 5 mil até 10 mil;-22,70;-46,67
353130;3531308;Monte Alto;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;15 - Turvo/Grande;48405;Mais de 20 mil até 50 mil;-21,26;-48,53
353140;3531407;Monte Aprazível;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;23458;Mais de 20 mil até 50 mil;-20,74;-49,77
353150;3531506;Monte Azul Paulista;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;18191;Mais de 10 mil até 20 mil;-20,91;-48,68
353160;3531605;Monte Castelo;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;3991;Até 5 mil;-21,26;-51,57
353180;3531803;Monte Mor;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;59614;Mais de 50 mil até 100 mil;-22,95;-47,31
353170;3531704;Monteiro Lobato;684;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;4465;Até 5 mil;-22,94;-45,80
353190;3531902;Morro Agudo;695;Região Administrativa de Franca;Região de Governo de São Joaquim da Barra;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;12 - Baixo Pardo/Grande;32332;Mais de 20 mil até 50 mil;-20,69;-48,15
353200;3532009;Morungaba;686;Região Administrativa de Campinas;Região de Governo de Jundiaí;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;13247;Mais de 10 mil até 20 mil;-22,89;-46,78
353205;3532058;Motuca;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;4638;Até 5 mil;-21,51;-48,17
353210;3532108;Murutinga do Sul;690;Região Administrativa de Araçatuba;Região de Governo de Andradina;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;4281;Até 5 mil;-21,00;-51,30
353215;3532157;Nantes;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;3071;Até 5 mil;-22,60;-51,20
353220;3532207;Narandiba;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;4841;Até 5 mil;-22,56;-51,52
353230;3532306;Natividade da Serra;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;6698;Mais de 5 mil até 10 mil;-23,41;-45,38
353240;3532405;Nazaré Paulista;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;18445;Mais de 10 mil até 20 mil;-23,19;-46,37
353250;3532504;Neves Paulista;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;8620;Mais de 5 mil até 10 mil;-20,87;-49,65
353260;3532603;Nhandeara;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;10782;Mais de 10 mil até 20 mil;-20,67;-50,05
