Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
353780;3537800;Piedade;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;53536;Mais de 50 mil até 100 mil;-23,79;-47,44
353790;3537909;Pilar do Sul;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;14 - Alto Paranapanema;28221;Mais de 20 mil até 50 mil;-23,86;-47,73
353800;3538006;Pindamonhangaba;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;163611;Mais de 100 mil até 200 mil;-22,88;-45,46
353810;3538105;Pindorama;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;16255;Mais de 10 mil até 20 mil;-21,21;-48,91
353820;3538204;Pinhalzinho;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;14755;Mais de 10 mil até 20 mil;-22,78;-46,57
353830;3538303;Piquerobi;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;3535;Até 5 mil;-21,85;-51,73
353850;3538501;Piquete;684;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;13647;Mais de 10 mil até 20 mil;-22,59;-45,17
353860;3538600;Piracaia;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;MRBRAGANTINA;05 - Piracicaba/Capivari/Jundiaí;26287;Mais de 20 mil até 50 mil;-23,05;-46,30
353870;3538709;Piracicaba;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;389873;Mais de 200 mil até 500 mil;-22,73;-47,78
353880;3538808;Piraju;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;28574;Mais de 20 mil até 50 mil;-23,19;-49,37
353890;3538907;Pirajuí;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;23259;Mais de 20 mil até 50 mil;-21,96;-49,41
353900;3539004;Pirangi;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;10823;Mais de 10 mil até 20 mil;-21,09;-48,67
353910;3539103;Pirapora do Bom Jesus;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Oeste;RMSP;06 - Alto Tietê;18851;Mais de 10 mil até 20 mil;-23,38;-46,98
353920;3539202;Pirapozinho;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;27213;Mais de 20 mil até 50 mil;-22,48;-51,62
353930;3539301;Pirassununga;686;Região Administrativa de Campinas;Região de Governo de Limeira;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;73706;Mais de 50 mil até 100 mil;-22,00;-47,39
353940;3539400;Piratininga;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;13213;Mais de 10 mil até 20 mil;-22,43;-49,19
353950;3539509;Pitangueiras;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;38584;Mais de 20 mil até 50 mil;-21,01;-48,25
353960;3539608;Planalto;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;5167;Mais de 5 mil até 10 mil;-21,00;-49,94
353970;3539707;Platina;692;Região Administrativa de Marília;Região de Governo de Assis;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;3501;Até 5 mil;-22,63;-50,21
353980;3539806;Poá;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Leste;RMSP;06 - Alto Tietê;115538;Mais de 100 mil até 200 mil;-23,53;-46,35
353990;3539905;Poloni;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;5667;Mais de 5 mil até 10 mil;-20,75;-49,82
354000;3540002;Pompéia;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;21282;Mais de 20 mil até 50 mil;-22,03;-50,19
354010;3540101;Pongaí;688;Região Administrativa de Bauru;Região de Governo de Lins;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;3351;Até 5 mil;-21,73;-49,36
354020;3540200;Pontal;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;49283;Mais de 20 mil até 50 mil;-20,98;-48,06
354025;3540259;Pontalinda;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;4487;Até 5 mil;-20,45;-50,53
354030;3540309;Pontes Gestal;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;2528;Até 5 mil;-20,17;-49,76
354040;3540408;Populina;689;Região Administrativa de São José do Rio Preto;Região de Governo de Fernandópolis;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;3995;Até 5 mil;-19,91;-50,52
354050;3540507;Porangaba;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;10 - Tietê/Sorocaba;9310;Mais de 5 mil até 10 mil;-23,17;-48,12
354060;3540606;Porto Feliz;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;51697;Mais de 50 mil até 100 mil;-23,23;-47,52
354070;3540705;Porto Ferreira;693;Região Administrativa Central;Região de Governo de São Carlos;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;54102;Mais de 50 mil até 100 mil;-21,84;-47,45
354075;3540754;Potim;684;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;20702;Mais de 20 mil até 50 mil;-22,82;-45,30
354080;3540804;Potirendaba;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;16605;Mais de 10 mil até 20 mil;-21,08;-49,39
354085;3540853;Pracinha;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;2913;Até 5 mil;-21,84;-51,08
354090;3540903;Pradópolis;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;20907;Mais de 20 mil até 50 mil;-21,34;-48,09
354100;3541000;Praia Grande;683;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;Demais municípios;RMBS;07 - Baixada Santista;316844;Mais de 200 mil até 500 mil;-24,02;-46,52
354105;3541059;Pratânia;685;Região Administrativa de Sorocaba;Região de Governo de Botucatu;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;5156;Mais de 5 mil até 10 mil;-22,82;-48,70
354110;3541109;Presidente Alves;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;4020;Até 5 mil;-22,12;-49,43
354120;3541208;Presidente Bernardes;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;13720;Mais de 10 mil até 20 mil;-22,11;-51,62
354130;3541307;Presidente Epitácio;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;42400;Mais de 20 mil até 50 mil;-21,91;-52,18
354140;3541406;Presidente Prudente;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;221073;Mais de 200 mil até 500 mil;-21,99;-51,34
354150;3541505;Presidente Venceslau;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;38005;Mais de 20 mil até 50 mil;-21,79;-51,84
354160;3541604;Promissão;688;Região Administrativa de Bauru;Região de Governo de Lins;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;39667;Mais de 20 mil até 50 mil;-21,52;-49,87
354165;3541653;Quadra;685;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Demais municípios;Demais municípios;Demais municípios;10 - Tietê/Sorocaba;3708;Até 5 mil;-23,30;-48,04
354170;3541703;Quatá;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;13935;Mais de 10 mil até 20 mil;-22,21;-50,65
354180;3541802;Queiroz;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;3279;Até 5 mil;-21,80;-50,24
354190;3541901;Queluz;684;Região Administrativa de São José dos Campos;Região de Governo de Cruzeiro;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;12644;Mais de 10 mil até 20 mil;-22,50;-44,79
354200;3542008;Quintana;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;6500;Mais de 5 mil até 10 mil;-22,10;-50,37
354210;3542107;Rafard;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;8976;Mais de 5 mil até 10 mil;-23,05;-47,58
354220;3542206;Rancharia;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;28847;Mais de 20 mil até 50 mil;-22,28;-50,93
354230;3542305;Redenção da Serra;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;3837;Até 5 mil;-23,25;-45,53
354240;3542404;Regente Feijó;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;19491;Mais de 10 mil até 20 mil;-22,25;-51,29
354250;3542503;Reginópolis;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;7215;Mais de 5 mil até 10 mil;-21,88;-49,18
354260;3542602;Registro;682;Região Administrativa de Registro;Região de Governo de Registro;Demais municípios;Demais municípios;Demais municípios;11 - Ribeira de Iguape/Litoral Sul;54216;Mais de 50 mil até 100 mil;-24,50;-47,82
354270;3542701;Restinga;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;7493;Mais de 5 mil até 10 mil;-20,65;-47,51
354280;3542800;Ribeira;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;11 - Ribeira de Iguape/Litoral Sul;3242;Até 5 mil;-24,61;-49,04
354290;3542909;Ribeirão Bonito;693;Região Administrativa Central;Região de Governo de São Carlos;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;12959;Mais de 10 mil até 20 mil;-22,06;-48,19
354300;3543006;Ribeirão Branco;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;17685;Mais de 10 mil até 20 mil;-24,26;-48,78
354310;3543105;Ribeirão Corrente;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;4664;Até 5 mil;-20,45;-47,57
354320;3543204;Ribeirão do Sul;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;4360;Até 5 mil;-22,75;-49,92
354323;3543238;Ribeirão dos Índios;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;2141;Até 5 mil;-21,78;-51,58
354325;3543253;Ribeirão Grande;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;7510;Mais de 5 mil até 10 mil;-24,19;-48,36
354330;3543303;Ribeirão Pires;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudeste;RMSP;06 - Alto Tietê;118968;Mais de 100 mil até 200 mil;-23,70;-46,40
354340;3543402;Ribeirão Preto;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;683777;Mais de 500 mil até 1 milhão;-21,21;-47,82
354360;3543600;Rifaina;695;Região Administrativa de Franca;Região de Governo de Franca;Demais municípios;Demais municípios;Demais municípios;08 - Sapucaí/Grande;3468;Até 5 mil;-20,06;-47,44
354370;3543709;Rincão;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;10496;Mais de 10 mil até 20 mil;-21,59;-48,03
354380;3543808;Rinópolis;692;Região Administrativa de Marília;Região de Governo de Tupã;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;9720;Mais de 5 mil até 10 mil;-21,68;-50,72
354390;3543907;Rio Claro;686;Região Administrativa de Campinas;Região de Governo de Rio Claro;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;201212;Mais de 200 mil até 500 mil;-22,37;-47,58
354400;3544004;Rio das Pedras;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;34416;Mais de 20 mil até 50 mil;-22,85;-47,60
354410;3544103;Rio Grande da Serra;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudeste;RMSP;06 - Alto Tietê;49816;Mais de 20 mil até 50 mil;-23,74;-46,38
354420;3544202;Riolândia;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;11431;Mais de 10 mil até 20 mil;-20,02;-49,71
354350;3543501;Riversul;696;Região Administrativa de Itapeva;Região de Governo de Itapeva;Demais municípios;Demais municípios;Demais municípios;14 - Alto Paranapanema;5705;Mais de 5 mil até 10 mil;-23,85;-49,45
354425;3544251;Rosana;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;18387;Mais de 10 mil até 20 mil;-22,49;-52,83
354430;3544301;Roseira;684;Região Administrativa de São José dos Campos;Região de Governo de Guaratinguetá;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;10642;Mais de 10 mil até 20 mil;-22,93;-45,30
354440;3544400;Rubiácea;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;3106;Até 5 mil;-21,36;-50,79
354450;3544509;Rubinéia;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;2989;Até 5 mil;-20,25;-51,02
354460;3544608;Sabino;688;Região Administrativa de Bauru;Região de Governo de Lins;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;5468;Mais de 5 mil até 10 mil;-21,47;-49,58
354470;3544707;Sagres;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;2362;Até 5 mil;-21,87;-50,99
354480;3544806;Sales;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;6050;Mais de 5 mil até 10 mil;-21,35;-49,50
354490;3544905;Sales Oliveira;695;Região Administrativa de Franca;Região de Governo de São Joaquim da Barra;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;11518;Mais de 10 mil até 20 mil;-20,83;-47,85
354500;3545001;Salesópolis;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Leste;RMSP;06 - Alto Tietê;16838;Mais de 10 mil até 20 mil;-23,58;-45,84
354510;3545100;Salmourão;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;5117;Mais de 5 mil até 10 mil;-21,59;-50,88
354515;3545159;Saltinho;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;7860;Mais de 5 mil até 10 mil;-22,87;-47,73
354520;3545209;Salto;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;05 - Piracicaba/Capivari/Jundiaí;115372;Mais de 100 mil até 200 mil;-23,18;-47,30
354530;3545308;Salto de Pirapora;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;44223;Mais de 20 mil até 50 mil;-23,65;-47,58
354540;3545407;Salto Grande;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;9095;Mais de 5 mil até 10 mil;-22,87;-49,96
354550;3545506;Sandovalina;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;4211;Até 5 mil;-22,48;-51,84
354560;3545605;Santa Adélia;689;Região Administrativa de São José do Rio Preto;Região de Governo de Catanduva;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;14892;Mais de 10 mil até 20 mil;-21,32;-48,82
354570;3545704;Santa Albertina;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;5672;Mais de 5 mil até 10 mil;-20,01;-50,73
354580;3545803;Santa Bárbara d'Oeste;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;188745;Mais de 100 mil até 200 mil;-22,80;-47,43
354600;3546009;Santa Branca;684;Região Administrativa de São José dos Campos;Região de Governo de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;02 - Paraíba do Sul;14179;Mais de 10 mil até 20 mil;-23,43;-45,86
354610;3546108;Santa Clara d'Oeste;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;2006;Até 5 mil;-20,07;-50,91
354620;3546207;Santa Cruz da Conceição;686;Região Administrativa de Campinas;Região de Governo de Limeira;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;4349;Até 5 mil;-22,12;-47,49
354625;3546256;Santa Cruz da Esperança;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;2077;Até 5 mil;-21,27;-47,44
354630;3546306;Santa Cruz das Palmeiras;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;33729;Mais de 20 mil até 50 mil;-21,86;-47,25
354640;3546405;Santa Cruz do Rio Pardo;692;Região Administrativa de Marília;Região de Governo de Ourinhos;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;46110;Mais de 20 mil até 50 mil;-22,81;-49,57
354650;3546504;Santa Ernestina;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;5525;Mais de 5 mil até 10 mil;-21,45;-48,37
354660;3546603;Santa Fé do Sul;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;30804;Mais de 20 mil até 50 mil;-20,24;-50,95
354670;3546702;Santa Gertrudes;686;Região Administrativa de Campinas;Região de Governo de Rio Claro;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;26189;Mais de 20 mil até 50 mil;-22,47;-47,52
354680;3546801;Santa Isabel;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Leste;RMSP;02 - Paraíba do Sul;55086;Mais de 50 mil até 100 mil;-23,29;-46,24
354690;3546900;Santa Lúcia;693;Região Administrativa Central;Região de Governo de Araraquara;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;8562;Mais de 5 mil até 10 mil;-21,67;-48,06
354700;3547007;Santa Maria da Serra;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;6141;Mais de 5 mil até 10 mil;-22,56;-48,15
354710;3547106;Santa Mercedes;691;Região Administrativa de Presidente Prudente;Região de Governo de Dracena;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;2813;Até 5 mil;-21,32;-51,74
354750;3547502;Santa Rita do Passa Quatro;693;Região Administrativa Central;Região de Governo de São Carlos;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;09 - Mogi-Guaçu;26385;Mais de 20 mil até 50 mil;-21,68;-47,51
354740;3547403;Santa Rita d'Oeste;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;2404;Até 5 mil;-20,10;-50,81
354760;3547601;Santa Rosa de Viterbo;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;25604;Mais de 20 mil até 50 mil;-21,50;-47,37
354765;3547650;Santa Salete;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;1440;Até 5 mil;-20,26;-50,72
354720;3547205;Santana da Ponte Pensa;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;1509;Até 5 mil;-20,26;-50,80
354730;3547304;Santana de Parnaíba;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Oeste;RMSP;06 - Alto Tietê;138132;Mais de 100 mil até 200 mil;-23,45;-46,92
354770;3547700;Santo Anastácio;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;22 - Pontal do Paranapanema;20127;Mais de 20 mil até 50 mil;-22,04;-51,72
354780;3547809;Santo André;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudeste;RMSP;06 - Alto Tietê;693867;Mais de 500 mil até 1 milhão;-23,66;-46,53
354790;3547908;Santo Antônio da Alegria;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;08 - Sapucaí/Grande;6637;Mais de 5 mil até 10 mil;-21,09;-47,20
354800;3548005;Santo Antônio de Posse;686;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;Demais municípios;RMC;05 - Piracicaba/Capivari/Jundiaí;22849;Mais de 20 mil até 50 mil;-22,60;-46,95
354805;3548054;Santo Antônio do Aracanguá;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;8252;Mais de 5 mil até 10 mil;-20,87;-50,55
354810;3548104;Santo Antônio do Jardim;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;5826;Mais de 5 mil até 10 mil;-22,13;-46,68
354820;3548203;Santo Antônio do Pinhal;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;01 - Mantiqueira;6628;Mais de 5 mil até 10 mil;-22,83;-45,70
354830;3548302;Santo Expedito;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;2972;Até 5 mil;-21,82;-51,37
354840;3548401;Santópolis do Aguapeí;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;4668;Até 5 mil;-21,66;-50,52
354850;3548500;Santos;683;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;Demais municípios;RMBS;07 - Baixada Santista;428703;Mais de 200 mil até 500 mil;-23,87;-46,29
354860;3548609;São Bento do Sapucaí;684;Região Administrativa de São José dos Campos;Região de Governo de Taubaté;Região Metropolitana do Vale do Paraíba e Litoral Norte;Demais municípios;RMVPLN;01 - Mantiqueira;10530;Mais de 10 mil até 20 mil;-22,68;-45,69
354870;3548708;São Bernardo do Campo;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudeste;RMSP;06 - Alto Tietê;812086;Mais de 500 mil até 1 milhão;-23,81;-46,55
354880;3548807;São Caetano do Sul;681;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;RMSP-Sub-região Sudeste;RMSP;06 - Alto Tietê;151244;Mais de 100 mil até 200 mil;-23,63;-46,57
354890;3548906;São Carlos;693;Região Administrativa Central;Região de Governo de São Carlos;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;242632;Mais de 200 mil até 500 mil;-21,92;-47,87
354900;3549003;São Francisco;689;Região Administrativa de São José do Rio Preto;Região de Governo de Jales;Demais municípios;Demais municípios;Demais municípios;18 - São José dos Dourados;2677;Até 5 mil;-20,37;-50,68
354910;3549102;São João da Boa Vista;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;87340;Mais de 50 mil até 100 mil;-21,98;-46,80
