Ano;Cod_ibge;CBO2002_FAMILIA;CLAS_CNAE_20;GR_INSTRUCAO;TAMESTAB;massa_rendimentos;Emprego_formal;EMP_C_SAL
2021;;2142;42120;9;4;26242.8;1;1
2021;;2021;42120;9;4;36106.0;1;1
2021;;3146;42120;9;4;27727.6;1;1
2021;;8601;42120;9;4;62934.27;1;1
2021;;1210;42120;9;4;146806.8;1;1
2021;;1412;42120;7;4;27727.6;1;1
2021;;1413;42120;9;4;125118.4;2;2
2021;;1421;42120;9;4;40995.6;2;2
2021;;2142;42120;9;4;41793.0;2;2
2021;;2149;42120;9;4;114224.6;2;2
